approach,D,W,F,profile,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,dist,zipf_s,locality,ops,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_bytes,avg_latency_us_std,p99_latency_us_std,throughput_ops_sec_std,memory_bytes_std
case_a,2,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.79552,5.8,1.22745e+06,124018,0.0846584,1.11056,122031,40272.2
case_a,2,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.63755,253.3,151424,108790,0.681857,46.5334,15555.1,89.835
case_a,2,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,4.65095,137.114,215635,108759,0.449885,52.5376,20951.5,87.0709
case_a,2,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.810983,5.48571,1.20442e+06,124048,0.0664039,0.833524,96158.1,40263.3
case_a,2,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.38927,243.071,159594,108824,1.13497,73.6526,24447.3,91.0934
case_a,2,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,4.65391,131.7,218791,108793,0.771881,53.7654,35430.7,83.664
case_a,2,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.797763,5.42857,1.23917e+06,124074,0.117358,0.629058,177068,40269.4
case_a,2,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.30585,238.914,158884,108853,0.514399,41.5471,12776.9,92.9543
case_a,2,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,4.83132,144.657,210015,108825,0.765019,51.3074,30128.9,78.389
case_a,2,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.624103,4.54286,1.55535e+06,154506,0.0619272,0.553345,140701,56981.3
case_a,2,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.27683,242.8,160450,169710,0.695545,40.3597,18389,57008.7
case_a,2,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,4.79015,137.157,212320,154468,0.787824,58.846,32923.4,56978.8
case_a,2,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.66906,5.07143,1.45083e+06,154595,0.0499255,0.61837,105637,56968.6
case_a,2,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.45797,253.071,155866,169794,0.705146,39.6388,17114.2,57002.5
case_a,2,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.17322,154.1,195123,154587,0.639618,63.5236,25614.4,56976.9
case_a,2,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.820291,5.84286,1.19358e+06,154692,0.0753141,0.877225,111628,56982.6
case_a,2,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.90696,261.414,145898,169930,0.792721,42.0168,16475.7,56994.4
case_a,2,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.30909,158.871,190718,154810,0.766073,65.1796,26133.8,56972.5
case_a,2,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.614591,3.9,1.58391e+06,215555,0.0739567,0.486484,171404,48.3908
case_a,2,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.96497,334.257,126959,215625,1.01978,54.4195,16581.9,114.192
case_a,2,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.16544,216.186,164812,215738,0.942776,78.0998,24818.2,111.771
case_a,2,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.6188,4.31429,1.57051e+06,215901,0.0599659,0.452506,149663,54.317
case_a,2,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.99038,334.471,126115,216130,0.900485,41.0852,14033.3,108.39
case_a,2,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.29351,216.371,161921,216387,1.06929,68.3699,25171.6,104.856
case_a,2,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.788709,5.68571,1.24491e+06,216288,0.0911378,0.73808,143922,72.6051
case_a,2,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,8.45299,336.457,119010,216809,0.856763,30.0631,12012.4,158.682
case_a,2,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.36026,221.843,159443,217158,0.945046,63.3748,22212.5,88.278
case_a,2,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.676949,2.9,1.45102e+06,216236,0.0935914,0.244949,181636,96.2228
case_a,2,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,11.8438,522.414,85211.9,216771,1.37054,40.8466,9585.43,186.528
case_a,2,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.83619,421.286,103285,217095,1.52943,65.1444,14193.6,160.365
case_a,2,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.67218,3.58571,1.46156e+06,217449,0.0934228,0.267261,182176,153.639
case_a,2,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,12.2992,532.957,81961,218716,1.36932,35.5853,8433.97,102.111
case_a,2,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.92524,431.829,102042,219157,1.37631,55.4189,12970.3,93.4211
case_a,2,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.847017,6.3,1.16625e+06,219094,0.112165,0.996661,142401,117.275
case_a,2,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,12.761,548.614,78849.4,221139,1.27917,40.8048,7248.92,188.351
case_a,2,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.91082,435.6,102209,221632,1.35476,62.7433,13250.8,77.5425
case_a,5,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.823451,5.11429,1.19053e+06,139274,0.0739345,0.703393,113430,52000.1
case_a,5,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.79763,256.729,148128,124061,0.737709,49.8658,16345.2,40292.7
case_a,5,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,4.81486,155.014,210027,139241,0.666884,53.0009,28403.8,51985.3
case_a,5,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.838166,5.92857,1.17342e+06,139338,0.0922539,1.16005,125253,51998.9
case_a,5,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,6.8995,253.843,145830,124116,0.736832,36.2774,15082,40277.5
case_a,5,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.01975,165.2,200827,139306,0.620707,54.8721,24164.2,51993.8
case_a,5,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.958286,5.72857,1.03462e+06,139415,0.123115,0.95344,135770,51994.3
case_a,5,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.30433,270.386,137393,124210,0.653651,32.6778,11944.3,40296.1
case_a,5,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.47259,185.814,184794,139455,0.741051,57.256,24621.2,51975.9
case_a,5,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.730563,5.2,1.33977e+06,215487,0.0771484,0.640312,133217,39.5285
case_a,5,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.47371,305.029,134990,215497,0.86272,47.351,16388.4,114.862
case_a,5,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.7148,192.971,176545,215536,0.68896,64.0889,22074.2,89.6121
case_a,5,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.821183,5.62857,1.19598e+06,215723,0.0849699,0.675066,122727,56.5258
case_a,5,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.57445,302.986,133652,215817,0.977074,52.3364,18790,86.7016
case_a,5,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.97221,201.6,169457,215979,0.855231,71.4307,21935.8,112.123
case_a,5,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.997997,6.81429,994380,215991,0.126167,0.684175,141710,71.0481
case_a,5,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,8.32236,310.457,122046,216291,1.10843,50.2109,19737.5,134.689
case_a,5,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.29549,206.543,160448,216543,0.820286,64.842,19749.4,85.6164
case_a,5,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.741051,5.08571,1.32036e+06,216063,0.0753276,0.641427,125855,88.6482
case_a,5,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,11.4481,489.286,88493.1,216459,1.54116,45.9241,11541.3,178.358
case_a,5,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.1352,372.114,110794,216734,1.22599,66.4774,14231.6,114.054
case_a,5,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.782491,5.91429,1.26065e+06,217044,0.107122,0.638823,159259,69.1906
case_a,5,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,12.3867,518.857,81678.1,217988,1.57629,43.2924,10095.8,100.485
case_a,5,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.46089,386.714,107139,218414,1.30934,64.3415,14535,172.481
case_a,5,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.04683,7.92857,942869,218298,0.103289,1.12356,98836,55.112
case_a,5,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,13.1152,514.629,76890.1,219990,1.44093,42.3563,8291.66,158.809
case_a,5,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,9.93145,400.357,102219,220477,1.36365,60.9117,15093.3,89.1272
case_a,5,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.900226,4.5,1.10024e+06,324537,0.128018,0.58023,136745,140.335
case_a,5,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,22.9394,1028.81,43878.7,326283,2.16225,45.6067,4107.1,248.083
case_a,5,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,18.2989,884.343,55232.4,326723,2.1142,32.6037,6643.87,226.986
case_a,5,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.93642,6.02857,1.07128e+06,328538,0.180816,0.912349,178895,261.951
case_a,5,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,23.3515,1046.09,43215.6,331435,2.49483,52.2182,4755.76,212.628
case_a,5,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,18.7787,910.243,54212.9,332032,2.65365,52.3834,8558.24,235.768
case_a,5,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.35715,13.6286,738095,334108,0.198268,3.18942,110342,172.481
case_a,5,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,25.5891,1101.17,39365.7,337728,2.50696,34.6603,3831.03,255.731
case_a,5,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,19.5675,961.371,52042.4,338365,2.90007,59.4917,7979.13,86.3723
case_a,10,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.96494,5.94286,1.02324e+06,215410,0.115039,0.873417,115429,69.6599
case_a,10,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.33867,281.429,137812,200216,0.952869,45.9604,17932.3,40302.8
case_a,10,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.21995,180.257,193297,215436,0.645655,62.3075,24149.1,87.2907
case_a,10,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.04907,6.68571,938745,215535,0.0857697,1.40882,79039.4,75.3326
case_a,10,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.55925,280.871,133847,200351,0.935782,42.0111,18562.4,40301.6
case_a,10,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.35687,185.2,188003,215620,0.617153,54.7098,21533.8,109.243
case_a,10,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.16813,6.87143,850046,215718,0.138769,1.81541,99984.3,66.7233
case_a,10,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,8.53531,310.586,117971,200591,0.880661,27.5917,12738.7,40302.2
case_a,10,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.93335,213.114,170339,215946,0.770883,55.9459,22001.4,94.0709
case_a,10,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,0.913563,6.41429,1.07571e+06,215713,0.0911356,1.39813,94593.4,55.6013
case_a,10,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,9.02118,374.586,111809,215857,0.980687,42.0894,13414.3,142.497
